 "f" , "topLevelAnchestor" ,
 "https://w3id.org/framester/framenet/abox/frame/Punctual_perception" , "https://w3id.org/framester/framenet/abox/frame/Perception" ,
 "https://w3id.org/framester/framenet/abox/frame/People_by_origin" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Plants" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Removing" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Interior_profile_relation" , "https://w3id.org/framester/framenet/abox/frame/State https://w3id.org/framester/framenet/abox/frame/Relation" ,
 "https://w3id.org/framester/framenet/abox/frame/Preliminaries" , "https://w3id.org/framester/framenet/abox/frame/Means" ,
 "https://w3id.org/framester/framenet/abox/frame/Fluidic_motion" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Scarcity" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Accompaniment" , "https://w3id.org/framester/framenet/abox/frame/Relation" ,
 "https://w3id.org/framester/framenet/abox/frame/Partitive" , "https://w3id.org/framester/framenet/abox/frame/Relation" ,
 "https://w3id.org/framester/framenet/abox/frame/Substance" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Partiality" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Attempt_means" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Pre_lose_possession" , "https://w3id.org/framester/framenet/abox/frame/Possession" ,
 "https://w3id.org/framester/framenet/abox/frame/Being_dry" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Grooming" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Cause_fluidic_motion" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Legal_rulings" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Cause_to_continue" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Rope_manipulation" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Obviousness" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Change_position_on_a_scale" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Transition_to_state" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Cotheme" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Locale_by_ownership" , "https://w3id.org/framester/framenet/abox/frame/Locale" ,
 "https://w3id.org/framester/framenet/abox/frame/Desirable_event" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Quantity" , "https://w3id.org/framester/framenet/abox/frame/Dimension" ,
 "https://w3id.org/framester/framenet/abox/frame/Appointing" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Recording" , "https://w3id.org/framester/framenet/abox/frame/Statement" ,
 "https://w3id.org/framester/framenet/abox/frame/Diversity" , "https://w3id.org/framester/framenet/abox/frame/Attributes https://w3id.org/framester/framenet/abox/frame/Reciprocality" ,
 "https://w3id.org/framester/framenet/abox/frame/Expectation" , "https://w3id.org/framester/framenet/abox/frame/Mental_activity" ,
 "https://w3id.org/framester/framenet/abox/frame/Using" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Experience_bodily_harm" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Social_event_collective" , "https://w3id.org/framester/framenet/abox/frame/Social_event" ,
 "https://w3id.org/framester/framenet/abox/frame/Self_motion" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Measure_by_action" , "https://w3id.org/framester/framenet/abox/frame/Measures" ,
 "https://w3id.org/framester/framenet/abox/frame/Give_impression" , "https://w3id.org/framester/framenet/abox/frame/Perception" ,
 "https://w3id.org/framester/framenet/abox/frame/Activity_start" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/People" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Attack" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Cycle_of_life_and_death" , "https://w3id.org/framester/framenet/abox/frame/Cycle_of_existence_scenario" ,
 "https://w3id.org/framester/framenet/abox/frame/Rape" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Size" , "https://w3id.org/framester/framenet/abox/frame/Attributes" ,
 "https://w3id.org/framester/framenet/abox/frame/Distributed_position" , "https://w3id.org/framester/framenet/abox/frame/State https://w3id.org/framester/framenet/abox/frame/Relation" ,
 "https://w3id.org/framester/framenet/abox/frame/Negation" , "https://w3id.org/framester/framenet/abox/frame/Alternativity" ,
 "https://w3id.org/framester/framenet/abox/frame/Victim_operated_IED" , "https://w3id.org/framester/framenet/abox/frame/Entity" ,
 "https://w3id.org/framester/framenet/abox/frame/Request_entity" , "https://w3id.org/framester/framenet/abox/frame/Request" ,
 "https://w3id.org/framester/framenet/abox/frame/Confronting_problem" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
 "https://w3id.org/framester/framenet/abox/frame/Closure" , "https://w3id.org/framester/framenet/abox/frame/Event" ,
